cz,pop,parent,child,prop
100,576081,1,1,0.39
100,576081,2,1,0.281
100,576081,3,1,0.195
100,576081,4,1,0.138
100,576081,5,1,0.121
200,227816,1,1,0.4
200,227816,2,1,0.29
200,227816,3,1,0.189
200,227816,4,1,0.137
200,227816,5,1,0.122
301,66708,1,1,0.404
301,66708,2,1,0.292
301,66708,3,1,0.198
301,66708,4,1,0.141
301,66708,5,1,0.116
302,727600,1,1,0.4
302,727600,2,1,0.286
302,727600,3,1,0.202
302,727600,4,1,0.147
302,727600,5,1,0.129
401,493180,1,1,0.406
401,493180,2,1,0.279
401,493180,3,1,0.199
401,493180,4,1,0.144
401,493180,5,1,0.118
402,92753,1,1,0.394
402,92753,2,1,0.288
402,92753,3,1,0.198
402,92753,4,1,0.123
402,92753,5,1,0.117
500,1055133,1,1,0.395
500,1055133,2,1,0.294
500,1055133,3,1,0.195
500,1055133,4,1,0.143
500,1055133,5,1,0.115
601,90016,1,1,0.381
601,90016,2,1,0.257
601,90016,3,1,0.2
601,90016,4,1,0.118
601,90016,5,1,0.116
602,64676,1,1,0.365
602,64676,2,1,0.225
602,64676,3,1,0.138
602,64676,4,1,0.116
602,64676,5,1,0.09
700,354533,1,1,0.359
700,354533,2,1,0.275
700,354533,3,1,0.191
700,354533,4,1,0.121
700,354533,5,1,0.117
800,413331,1,1,0.41
800,413331,2,1,0.317
800,413331,3,1,0.217
800,413331,4,1,0.147
800,413331,5,1,0.107
900,1423942,1,1,0.382
900,1423942,2,1,0.286
900,1423942,3,1,0.198
900,1423942,4,1,0.148
900,1423942,5,1,0.117
1001,77361,1,1,0.33
1001,77361,2,1,0.221
1001,77361,3,1,0.179
1001,77361,4,1,0.129
1001,77361,5,1,0.129
1002,164760,1,1,0.395
1002,164760,2,1,0.29
1002,164760,3,1,0.17
1002,164760,4,1,0.147
1002,164760,5,1,0.121
1100,375363,1,1,0.402
1100,375363,2,1,0.295
1100,375363,3,1,0.207
1100,375363,4,1,0.145
1100,375363,5,1,0.112
1201,44861,1,1,0.34
1201,44861,2,1,0.244
1201,44861,3,1,0.167
1201,44861,4,1,0.135
1201,44861,5,1,0.082
1202,54082,1,1,0.328
1202,54082,2,1,0.251
1202,54082,3,1,0.168
1202,54082,4,1,0.119
1202,54082,5,1,0.136
1203,398505,1,1,0.365
1203,398505,2,1,0.265
1203,398505,3,1,0.183
1203,398505,4,1,0.151
1203,398505,5,1,0.132
1204,59681,1,1,0.334
1204,59681,2,1,0.23
1204,59681,3,1,0.191
1204,59681,4,1,0.127
1204,59681,5,1,0.151
1301,71586,1,1,0.394
1301,71586,2,1,0.309
1301,71586,3,1,0.197
1301,71586,4,1,0.136
1301,71586,5,1,0.125
1302,548986,1,1,0.381
1302,548986,2,1,0.28
1302,548986,3,1,0.199
1302,548986,4,1,0.14
1302,548986,5,1,0.129
1400,644101,1,1,0.393
1400,644101,2,1,0.3
1400,644101,3,1,0.208
1400,644101,4,1,0.165
1400,644101,5,1,0.137
1500,361559,1,1,0.404
1500,361559,2,1,0.294
1500,361559,3,1,0.23
1500,361559,4,1,0.171
1500,361559,5,1,0.139
1600,216840,1,1,0.398
1600,216840,2,1,0.298
1600,216840,3,1,0.196
1600,216840,4,1,0.134
1600,216840,5,1,0.107
1701,1412127,1,1,0.385
1701,1412127,2,1,0.284
1701,1412127,3,1,0.2
1701,1412127,4,1,0.142
1701,1412127,5,1,0.121
1702,62926,1,1,0.426
1702,62926,2,1,0.322
1702,62926,3,1,0.223
1702,62926,4,1,0.151
1702,62926,5,1,0.142
1800,222553,1,1,0.368
1800,222553,2,1,0.28
1800,222553,3,1,0.189
1800,222553,4,1,0.131
1800,222553,5,1,0.113
1900,536909,1,1,0.374
1900,536909,2,1,0.268
1900,536909,3,1,0.18
1900,536909,4,1,0.147
1900,536909,5,1,0.132
2000,1119468,1,1,0.375
2000,1119468,2,1,0.266
2000,1119468,3,1,0.193
2000,1119468,4,1,0.146
2000,1119468,5,1,0.116
2100,124216,1,1,0.372
2100,124216,2,1,0.295
2100,124216,3,1,0.184
2100,124216,4,1,0.148
2100,124216,5,1,0.143
2200,158234,1,1,0.389
2200,158234,2,1,0.288
2200,158234,3,1,0.167
2200,158234,4,1,0.118
2200,158234,5,1,0.086
2300,228616,1,1,0.377
2300,228616,2,1,0.262
2300,228616,3,1,0.17
2300,228616,4,1,0.122
2300,228616,5,1,0.088
2400,1040192,1,1,0.406
2400,1040192,2,1,0.285
2400,1040192,3,1,0.201
2400,1040192,4,1,0.143
2400,1040192,5,1,0.113
2500,570854,1,1,0.375
2500,570854,2,1,0.267
2500,570854,3,1,0.179
2500,570854,4,1,0.137
2500,570854,5,1,0.109
2600,139055,1,1,0.395
2600,139055,2,1,0.314
2600,139055,3,1,0.193
2600,139055,4,1,0.132
2600,139055,5,1,0.082
2700,458674,1,1,0.337
2700,458674,2,1,0.249
2700,458674,3,1,0.185
2700,458674,4,1,0.145
2700,458674,5,1,0.14
2800,120505,1,1,0.322
2800,120505,2,1,0.253
2800,120505,3,1,0.154
2800,120505,4,1,0.125
2800,120505,5,1,0.097
2900,157181,1,1,0.334
2900,157181,2,1,0.233
2900,157181,3,1,0.166
2900,157181,4,1,0.144
2900,157181,5,1,0.136
3001,41270,1,1,0.346
3001,41270,2,1,0.269
3001,41270,3,1,0.154
3001,41270,4,1,0.103
3001,41270,5,1,0.105
3002,39355,1,1,0.39
3002,39355,2,1,0.291
3002,39355,3,1,0.202
3002,39355,4,1,0.153
3002,39355,5,1,0.094
3003,546560,1,1,0.348
3003,546560,2,1,0.263
3003,546560,3,1,0.189
3003,546560,4,1,0.133
3003,546560,5,1,0.112
3101,103602,1,1,0.324
3101,103602,2,1,0.266
3101,103602,3,1,0.167
3101,103602,4,1,0.133
3101,103602,5,1,0.098
3102,46424,1,1,0.337
3102,46424,2,1,0.25
3102,46424,3,1,0.147
3102,46424,4,1,0.114
3102,46424,5,1,0.121
3201,25202,1,1,0.302
3201,25202,2,1,0.197
3201,25202,3,1,0.13
3201,25202,4,1,0.109
3201,25202,5,1,0.075
3202,69653,1,1,0.32
3202,69653,2,1,0.25
3202,69653,3,1,0.192
3202,69653,4,1,0.13
3202,69653,5,1,0.133
3203,84943,1,1,0.337
3203,84943,2,1,0.282
3203,84943,3,1,0.187
3203,84943,4,1,0.135
3203,84943,5,1,0.126
3300,1381652,1,1,0.349
3300,1381652,2,1,0.262
3300,1381652,3,1,0.2
3300,1381652,4,1,0.149
3300,1381652,5,1,0.125
3400,271365,1,1,0.339
3400,271365,2,1,0.241
3400,271365,3,1,0.164
3400,271365,4,1,0.118
3400,271365,5,1,0.105
3500,806561,1,1,0.337
3500,806561,2,1,0.256
3500,806561,3,1,0.183
3500,806561,4,1,0.136
3500,806561,5,1,0.114
3600,186516,1,1,0.374
3600,186516,2,1,0.242
3600,186516,3,1,0.168
