files,random_movement,threshold,nrep
parameters;environment,1,0.1,5
parameters;environment,0.5,0.1,5
parameters;environment,0.01,0.1,5
parameters;environment,0.5,0.15,5
parameters;environment,0.01,0.15,5
parameters;environment,0.5,0.22,5
parameters;environment,0.01,0.22,5
parameters;environment,0.5,0.28,5
parameters;environment,0.01,0.28,5
parameters;environment,1,0.1,5
parameters;environment,0.5,0.1,5
parameters;environment,0.01,0.1,5
parameters;environment,0.5,0.15,5
parameters;environment,0.01,0.15,5
parameters;environment,0.5,0.22,5
parameters;environment,0.01,0.22,5
parameters;environment,0.5,0.28,5
parameters;environment,0.01,0.28,5
parameters;environment,1,0.1,5
parameters;environment,0.5,0.1,5
parameters;environment,0.01,0.1,5
parameters;environment,0.5,0.15,5
parameters;environment,0.01,0.15,5
parameters;environment,0.5,0.22,5
parameters;environment,0.01,0.22,5
parameters;environment,0.5,0.28,5
parameters;environment,0.01,0.28,5
parameters;environment,1,0.1,5
parameters;environment,0.5,0.1,5
parameters;environment,0.01,0.1,5
parameters;environment,0.5,0.15,5
parameters;environment,0.01,0.15,5
parameters;environment,0.5,0.22,5
parameters;environment,0.01,0.22,5
parameters;environment,0.5,0.28,5
parameters;environment,0.01,0.28,5
parameters;environment,1,0.1,5
parameters;environment,0.5,0.1,5
parameters;environment,0.01,0.1,5
parameters;environment,0.5,0.15,5
parameters;environment,0.01,0.15,5
parameters;environment,0.5,0.22,5
parameters;environment,0.01,0.22,5
parameters;environment,0.5,0.28,5
parameters;environment,0.01,0.28,5
parameters;environment,1,0.1,5
parameters;environment,0.5,0.1,5
parameters;environment,0.01,0.1,5
parameters;environment,0.5,0.15,5
parameters;environment,0.01,0.15,5
parameters;environment,0.5,0.22,5
parameters;environment,0.01,0.22,5
parameters;environment,0.5,0.28,5
parameters;environment,0.01,0.28,5
