iteration,im_coef,rank_slope,all_exposure,moving_rate,move_random
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
1,0,FALSE,TRUE,0.001,1
2,0.3,FALSE,TRUE,0.001,1
3,0.5,FALSE,TRUE,0.001,1
4,0,TRUE,TRUE,0.001,1
5,0.3,TRUE,TRUE,0.001,1
6,0.5,TRUE,TRUE,0.001,1
7,0,FALSE,TRUE,0.1,1
8,0.3,FALSE,TRUE,0.1,1
9,0.5,FALSE,TRUE,0.1,1
10,0,TRUE,TRUE,0.1,1
11,0.3,TRUE,TRUE,0.1,1
12,0.5,TRUE,TRUE,0.1,1
13,0,FALSE,TRUE,0.1,0.01
14,0.3,FALSE,TRUE,0.1,0.01
15,0.5,FALSE,TRUE,0.1,0.01
16,0,TRUE,TRUE,0.1,0.01
17,0.3,TRUE,TRUE,0.1,0.01
18,0.5,TRUE,TRUE,0.1,0.01
